PageName,PageRoute,Category,RequiresAdmin,IsActive,DisplayOrder
Liquor Hub,/liquor/hub,LIQUOR,0,1,61
Print Batch Sheet,/liquor/print-batch/{BatchDateStr},LIQUOR,0,1,62
Print Order Sheet,/liquor/print-order/{OrderId:int},LIQUOR,0,1,63
Add Member,/members/new,MEMBERSHIP,0,1,1
Camera System Verification,/camera-verification,MEMBERSHIP,0,1,3
Change Password,/changepassword,MEMBERSHIP,0,1,4
Debug Db,/debug-db,MEMBERSHIP,0,1,8
Diag Np Queue,/diag-np-queue,MEMBERSHIP,0,1,9
Members Info,/members,MEMBERSHIP,0,1,10
Dues/Payments,/dues,MEMBERSHIP,0,1,11
Directors,/board,MEMBERSHIP,0,1,11
Edit Member,/members/{MemberId:int}/edit,MEMBERSHIP,0,1,12
Door Key Cards,/keycards,MEMBERSHIP,0,1,12
Life Eligibility,/life-eligibility,MEMBERSHIP,0,1,13
Error,/Error,MEMBERSHIP,0,1,13
Home,/website-home,MEMBERSHIP,0,1,14
Non-Portuguese Queue,/np-queue,MEMBERSHIP,0,1,14
Club Bylaws,/bylaws,MEMBERSHIP,0,1,15
Directors,/directors,MEMBERSHIP,0,1,16
Login,/login,MEMBERSHIP,0,1,16
Member Access,/member-access/{MemberId:int},MEMBERSHIP,0,1,17
Physical Keys,/physicalkeys,MEMBERSHIP,0,1,17
Member Dues History,/members/{MemberId:int}/dues,MEMBERSHIP,0,1,18
Member Key Card Status,/members/keycards,MEMBERSHIP,0,1,19
Safe Mode Lockout,/safe-mode-lockout,MEMBERSHIP,0,1,22
Sign In Draw Print,/print-membership-draw,MEMBERSHIP,0,1,23
Standard Page,/p/{Slug},MEMBERSHIP,0,1,24
Studio Preview,/studio/preview/{Slug},MEMBERSHIP,0,1,25
Sync Queue,/keycards/sync-queue,MEMBERSHIP,0,1,26
Test,/test,MEMBERSHIP,0,1,27
Test Db,/test-db,MEMBERSHIP,0,1,28
User Management,/users-old,MEMBERSHIP,1,1,29
Verify Mfa,/verify-mfa,MEMBERSHIP,0,1,30
Vpn Required,/vpn-required,MEMBERSHIP,0,1,31
Member Detail,/members/{MemberId:int},MEMBERSHIP,0,1,35
Settings,/settings,MEMBERSHIP,0,1,37
Studio,/studio/{PageId:int},MEMBERSHIP,0,1,39
Standalone POS App,pos,POS SYSTEM,0,0,100
Live Sales Monitor,/admin/pos-monitor,POS SYSTEM,1,0,100
POS Menu Manager,/admin/pos-menu,POS SYSTEM,1,1,101
Terminal Management,/admin/pos-devices,POS SYSTEM,1,0,102
Pos Sales Analysis,/admin/pos-analysis,POS SYSTEM,1,1,128
Pos Sales Audit,/admin/pos-audit,POS SYSTEM,1,1,129
Pos Terminal,/admin/pos-terminal,POS SYSTEM,1,1,130
Pos ZReport History,/admin/pos-z-reports,POS SYSTEM,1,1,131
System Diagnostics,/admin/system-diagnostics,SYSTEM,1,1,40
Infrastructure Hub,/admin/operations,SYSTEM,1,1,80
Text & Email Setup,/admin/system/communications,SYSTEM,1,1,81
System Alert Registry,/admin/system/alerts,SYSTEM,1,1,82
Network Status,/admin/system/network-status,SYSTEM,1,1,127
Page Management,/admin/pages,WEBSITE,1,1,60
Review Moderation,/admin/reviews,WEBSITE,1,1,61
Event Promotions,/admin/event-promotions,WEBSITE,1,1,62
Nav Menu Editor,/admin/nav-menu-editor,WEBSITE,1,1,63
Website Settings,/admin/website-settings,WEBSITE,1,1,64
Form Builder,/admin/form-builder,WEBSITE,1,1,65
Form Submissions,/admin/form-submissions,WEBSITE,1,1,66
Special Events,/controllers/schedules/specialevents,WEBSITE,1,1,67
